EGP,EASTGROUP PROPERTIES IN,0.0333
EBIX,EBIX INC,0.0526
ECHO,ECHO GLOBAL LOGISTICS,0.4
EGAN,EGAIN CORPORATION,0.0
EHTH,EHEALTH INC,-6.1429
EARN,ELLINGTON RESIDENTIAL,0.5
EME,EMCOR GROUP INC,0.2222
EBS,EMERGENT BIOSOLUTIONS,0.1061
EIG,EMPLOYERS HOLDINGS INC,-0.4353
ENTA,ENANTA PHARMACEUTICALS,1.0563
ECPG,ENCORE CAPITAL GROUP IN,-0.4677
WIRE,ENCORE WIRE CORP,0.7
ERII,ENERGY RECOVERY INC,-0.697
ENS,ENERSYS INC,0.087
EBF,ENNIS INC,0.28
ENPH,ENPHASE ENERGY INC,0.7647
NPO,ENPRO INDUSTRIES INC,0.2407
ENSG,ENSIGN GROUP INC,0.0256
ESGR,ENSTAR GROUP LIMITED,22.8333
ENTG,ENTEGRIS INC,0.0597
ETM,ENTERCOM COMMUNICATIONS,-0.9643
EBTC,ENTERPRISE BANCORP INC,nan
EFSC,ENTERPRISE FINL SERVICE,0.4706
EVC,ENTRAVISION COMM,-1.2381
ENV,ENVESTNET INC,0.2203
EPAM,EPAM SYSTEMS INC,0.1301
EPZM,EPIZYME INC,-0.0517
PLUS,EPLUS INC,0.0655
EPR,EPR PROPERTIES,0.3667
ESE,ESCO TECHNOLOGIES INC,0.1842
ESSA,ESSA BANCORP INC,0.0789
ETH,ETHAN ALLEN INTERIORS,0.9167
EEFT,EURONET WORLDWIDE INC,27.0
EVR,EVERCORE PARTNERS,4.1081
EVTC,EVERTEC INC,0.7105
EPM,EVOLUTION PETROLEUM COR,-0.1111
EXAS,EXACT SCIENCES CORP,1.5172
EXEL,EXELIXIS INC,-1.4762
EXLS,EXLSERVICE HOLDINGS INC,0.9623
XONE,EXONE COMPANY,-0.2083
EXPO,EXPONENT INC,0.2059
EXPR,EXPRESS INC,-0.2095
EXTR,EXTREME NETWORKS INC,2.0
EZPW,EZCORP INC,0.8571
FN,FABRINET,0.0476
FICO,FAIR ISAAC CORP,-0.1569
FARM,FARMER BROS CO,1.7568
FARO,FARO TECHNOLOGIES INC,-0.7778
FFG,FBL FINANCIAL GROUP INC,0.3875
AGM,FEDERAL AGRIC MTG CO,0.049
FSS,FEDERAL SIGNAL CORP,0.0
FOE,FERRO CORP,0.5833
FDUS,FIDUS INVESTMENT CORP,0.0811
FRGI,FIESTA RESTAURANT GROUP,-1.7273
FISI,FINANCIAL INSTNS INC,0.1351
FAF,FIRST AMERICAN FINL COR,0.7238
FNLC,FIRST BANCORP INC,nan
FBNC,FIRST BANCORP NC,0.0247
FBP,FIRST BANCORP PR,1.7
BUSE,FIRST BUSEY CORP,-0.0714
FCFS,FIRST CASH FINANCIAL,0.4237
FCBC,FIRST CMNTY BANCSHAR,0.383
FCF,FIRST COMMONWLTH FINL,0.35
FFBC,FIRST FINANCIAL BANCORP,0.1591
THFF,FIRST FINANCIAL CORP,0.1275
FFIN,FIRST FINL BANKSHARES,0.1081
FFNW,FIRST FINL NORTHWEST,0.3333
FR,FIRST INDUSTRIAL RLTY T,0.0
FIBK,FIRST INTST BANCSYSTEM,0.0
FLIC,FIRST LONG ISLAND CORP,-0.0222
FRME,FIRST MERCHANTS CORP,0.2388
FMBI,FIRST MIDWEST BANCORP,0.303
SVVC,FIRSTHAND TECH VALUE,3.027
FIVE,FIVE BELOW,-0.3208
FBC,FLAGSTAR BANCORP INC,-0.2706
FLXS,FLEXSTEEL INDUSTRIES IN,nan
FTK,FLOTEK INDS INC DEL,1.7273
FLDM,FLUIDIGM CORP,-0.5556
FFIC,FLUSHING FINANCIAL CORP,0.0357
FNB,FNB CORP,0.0769
FST,FOREST OIL CORP,0
FOR,FORESTAR GROUP INC,-0.08
FORM,FORMFACTOR INC,0.1282
FORR,FORRESTER RESEARCH INC,-0.6308
FET,FORUM ENERGY TECH,0.0345
FWRD,FORWARD AIR CORP,0.8182
FSTR,FOSTER L B CO,11.8
FC,FRANKLIN COVEY CO,-1.4
FELE,FRANKLIN ELECTRIC CO,0.537
FSP,FRANKLIN STREET PPTYS C,-0.0
RAIL,FREIGHTCAR AMERICA INC,-0.1546
FDP,FRESH DEL MONTE PRODUCE,-0.3519
FRO,FRONTLINE LTD,0.1538
FCN,FTI CONSULTING INC,0.1667
FCEL,FUELCELL ENERGY INC,0.125
FUL,FULLER H B CO,0.3947
FF,FUTUREFUEL CORPORATION,nan
GIII,G-III APPAREL GROUP LTD,-5.1613
GBL,GAMCO INVESTORS INC,nan
GLOG,GASLOG LTD,-1.5
GNRC,GENERAC HOLDINGS INC,0.4857
GCO,GENESCO INC,-1.6911
GNE,GENIE ENERGY LTD,-1.0
GNMK,GENMARK DIAGNOSTICS INC,-0.2857
THRM,GENTHERM INC,-4.0333
GEO,GEO GROUP INC,0.0286
GEOS,GEOSPACE TECHNOLOGIES,nan
GABC,GERMAN AMERICAN BANCORP,0.4364
GERN,GERON CORP,-0.0
GTY,GETTY REALTY CORP,0.0385
ROCK,GIBRALTAR INDUSTRIES IN,0.2619
GBCI,GLACIER BANCORP INC,0.0617
GLAD,GLADSTONE CAPITAL CORP,0.0
GOOD,GLADSTONE COMMERCIAL,-1.0
GAIN,GLADSTONE INVESTMENT,0.4615
GLT,GLATFELTER,0.375
GBLI,GLOBAL INDEMNITY PLC,-1.5769
GSM,GLOBE SPECIALTY METALS,2.2
GMED,GLOBUS MEDICAL INC,6.0
GLUU,GLU MOBILE INC,-0.5
GORO,GOLD RESOURCE CORP,-0.4
GBDC,GOLUB CAP BDC INC,0.0
GDP,GOODRICH PETROLEUM CORP,-0.9123
GRC,GORMAN RUPP CO,0.1071
GPX,GP STRATEGIES CORP,1.0
GHM,GRAHAM CORP,-0.5926
LOPE,GRAND CANYON EDUCATION,0.1068
GVA,GRANITE CONSTR INC,-1.2057
GPK,GRAPHIC PACKAGING HLDG,0.0769
GTN,GRAY TELEVISION INC,-58.0
GLDD,GREAT LAKES DREDGE & DO,0.3571
GSBC,GREAT SOUTHERN BANCORP,0.3333
GB,GREATBATCH INC,0
GDOT,GREEN DOT CORP,-0.4186
GPRE,GREEN PLAINS RENEWABLE,3.1667
GBX,GREENBRIER COMPANIES IN,-2.875
GHL,GREENHILL & CO INC,-6.5306
GLRE,GREENLIGHT CAPITAL RE L,0.06
GFF,GRIFFON CORP,0.2727
GPI,GROUP 1 AUTOMOTIVE INC,-0.1879
GSIT,GSI TECHNOLOGY,-0.0
GWRE,GUIDEWIRE SOFTWARE INC,-0.7952
GIFI,GULF ISLAND FABRICATION,1.25
HEES,H&E EQUIPMENT SERVICES,0.1667
HCKT,HACKETT GROUP INC,1.8333
HAE,HAEMONETICS CORP,0.3065
HAIN,HAIN CELESTIAL GROUP,-0.1562
HNRG,HALLADOR ENERGY CO,5.0
HALL,HALLMARK FINL SVCS INC,-3.0357
HALO,HALOZYME THERAPEUTICS,0.3158
HAFC,HANMI FINANCIAL CORP,-0.1132
HASI,HANNON ARMSTRONG SUSTAI,-0.1
HLIT,HARMONIC INC,5.6667
HBIO,HARVARD BIOSCIENCE INC,-0.2
HVT,HAVERTY FURNITURE INC,-2.8654
HA,HAWAIIAN HOLDINGS INC,-0.0133
HWKN,HAWKINS INC,-0.3478
HAYN,HAYNES INTERNATIONAL IN,0.413
HCI,HCI GROUP INC,0.8605
HR,HEALTHCARE REALTY TRUST,-0.8929
HCSG,HEALTHCARE SVCS GRP INC,0.1935
HSTM,HEALTHSTREAM INC,-0.2727
HTLD,HEARTLAND EXPRESS INC,-0.12
HTLF,HEARTLAND FINANCIAL USA,-0.2033
HL,HECLA MINING CO,2.0
HEI,HEICO CORP,0.125
HSII,HEIDRICK & STRUGGLES,0.0541
HELE,HELEN OF TROY LTD,-0.0027
HLX,HELIX ENERGY SOLUTIONS,3.0
HMTV,HEMISPHERE MEDIA GROUP,-1.7647
